class,label,tpr_cleanval
battery,0,0.9894179894179894
clothing,1,0.9993150684931507
glass,2,0.9800995024875622
metal,3,0.9675324675324676
organic,4,0.9949238578680203
papery,5,0.9922680412371134
plastic,6,0.9595375722543352
undifferentiated,7,0.9784172661870504
